abbreviation,full,type
"As.","Altsächsisch",other
"Bee, Dev","R. S. P. Beekes, The Development of th Proto-Indo-European Laryngeals in Greek. Den Haag-Paris 1969",reference
"Bee, Origins","R. S. P. Beekes, The Origins of Indo-European Nominal Inflection. Innsbruck 1985",reference
"Brixhe","C. Brixhe, Le dialecte grec de Pamphylie. Paris 1976",reference
"BSL","Bulletin de la société de linguistique. Paris.",reference
"Fs Dandekar","Amr̩tadhārā. Professor R. N. Dandekar Felicitation Volume. Delhi 1984",reference
"Fs Eilers","Festschrift für Wilhelm Eilers. Wiesbaden 1967",reference
"Fs Geiger","Studia Indo-Iranica. Festschrift für Wilhelm Geiger. Leipzig 1931",reference
"Fs Humbach","Studia Grammatica Iranica. Festschrift für Helmut Humbach. München 1986",reference
"Fs Morgenstierne","Indo-Iranica. Mélanges présentés à Georg Morgenstierne. Wiesbaden 1964",reference
"Fs Risch.","oßoßpeßroßsi. Festschrift für Ernst Risch zum 75 Geburtstag. Berlin-New York 1986.",reference
"Fs Turner","Sir Raplh Turner Jubilee Volume. I, II. Poona 1958, 1959",reference
"GGA","Göttingische Gelehrte Anzeigen. Göttingen",reference
"Gotō","T. Gotō, Die I. „Präsensklasse“ im Vedischen. Untersuchung der vollstufigen thematischen Wurzelpräsentia. Wien 1987. (Korr.-Nachtr.)",reference
"Gr̩Sū","Gr̩Sū",literature
"Günt, ArWk","H. Güntert, Der arische Weltkönig und Heiland Halle (Saale) 1923.",reference
"Jamison, -áya-","S. W. Jamison, Function and Form in the -áya- Formations of the Rig Veda and Atharva Veda. [Ergänzungshefte zu KZ Nr. 31]. Göttingen 1983.",reference
"JRAS.","Jounal of the Royal Asiatic Society. London",reference
"Kui, PMW.","F. B. Kuiper, Proto-Munda Words in Sanskrit [MKNA Deel 51, N°3]. Amsterdam 1948",reference
"LALIES","LALIES. Actes des sessions de linguistique et de littérature. Paris",reference
"Lo, KS","H. Lommel, Kleine Schriften. [Glasenapp-Stiftung Bd. 16]. Wiesbaden 1978.",reference
"Morg, Shughni","G. Morgenstierne, Etymological Vocabulary of the Shughni Group. Wiesbaden 1974.",reference
"Bielmeier, Unters","R. Bielmeier, Historische Untersuchung zurn Erb-und Lchnwortanteil im ossetischeri Grundwortschatz. Frankfurt u.a. 1977.",reference
"Buck","C. D. Buclc, A Dictionary of Selected Synonyims in the Principal Indo-European Languages. Chicago 1949",reference
"Euler, Gemeinsamkeiten","W. Euler, Indoiranisch-griechische Gemeinsamkeiten der Nominalbildung und deren indogermanische  Grundlagen. Innsbruck 1979.",reference
