abbreviation,full,type
"A.","Anmerkung [- Anm.].",other
"AArmL","Annual of Armenian Linguistics. Clevelaod, Ohio.",reference
"Aav.","Altavestisch.",language
"AAWL","Abhandlungen der geistes- und sozialwissenschaftlichen Klasse der Akademie der Wissenschaften und der Literatur in Mainz.",reference
"Abaev","V. I. Abaev, Istoriko-Etimologiceskij Slovar' Osetinskogo Jazyka. Moskau-Leningrad Bd. I (1958) ff.",reference
"AbhAkWiss[ ].","Abhandlungen der [ ] Akademie der Wissenschaften. [Philosoph.-histor. Klasse).",reference
"AblDu","Ablativ Dual.",grammar
"AblPl","Ablativ Plural.",grammar
"AblSg","Ablativ Singular.",grammar
"AC","L'antiquite classique. Brüssel.",reference
"AcNeoph","Acta Neophilologica. Laibach.",reference
"AcOr","Acta Orientalia, ediderunt Societates Orientales Danica Fennica Norvegica Svecica. Kopenhagen.",reference
"Ae.","Altenglisch.",language
"Ahd.","Althochdeutsch.",language
"Aia.","Altindoarisch.",language
"AiGr","J. Wackemagel (- A. Debrunner - L. Renou - R. Hauschild), Altindische Grammatik. Göttingen, Bd. I (1896) ff.",reference
"AION","Annali del Seminario di Studi del Mondo Classico, Sezione linguistica. Pisa. (1 (1979) ff.; löst AION-L ab].",reference
"AION-L","Annali dell'Istituto Orientale di Napoli, Sezione linguistica. Neapel. [S. AION].",reference
"Air.","Altirisch.",language
"AitĀr","Aitareya-Ära.oyaka.",other
"AitB","Aitareya-Brähmaoa .",other
"AkkDu","Akkusativ Dual.",grammar
"AkkPI","Akkusativ Plural.",grammar
"AkkSg","Akkusativ Singular.",grammar
"AKS","Ausgewählte Kleine Schriften. [S. Mb).",reference
"Aksl".,"Altkirchenslavisch",language
"Alb.","Albanisch.",language
"Alsdorf, Vegetarismus","L. Alsdorf, Beiträge zur Geschichte von Vegetarismus und Rinderverehrung in Indien. AA WL 1961 Nr. 6, Wiesbaden 1962.",reference
"AM","Asia Maior . London.",reference
"Ambr","R. Ambrosini .",reference
"AmJPh","American Journal of Philology. Baltimore.",reference
"An.","Altnordisch.",language
"Anm.","Anmerkung .",other
"AnnBhl","Annals of the Bhandarkar Oriental Research Institute. Poona.",reference
"AÖAW","Anzeiger der Österreichischen Akademie der WJSSenschaften. Philosophisch-historische Klasse. Wien.",reference
"AoF","AJtorientalische Forschungen . Schriften zur Geschichte und Kultur des Alten Orienls . Berlin.",reference
"AON","Acta Orientalia Neerlandica. Proceedings of the Congress of the Dutch Oriental Society held in Leiden . .. 1970. Leiden 1971.",reference
"Ap.","Altpersisch.",language
"Apabhr.","Apabhra.ri:lsa.",reference
"ApH","W. Brandenstein - M. Mayrhofer, Handbuch des Altpersischen. Wiesbaden 1964.",reference
"Apreuß.","Altpreußisch.",language
"ĀpSS","Äpastamba-Srautasütra.",reference
"ArchLing","Archivum Linguisticum. Glasgow . [S. das folgende).",reference
"ArchLing, N. S.","Archivum Linguisticum. New Series. Menston, Yorks.",reference
"Arm.","Armenisch .",language
"ASNP","Annali della Scuola Normale Superiore di Pisa. Lettere, storia e filosofia. Florenz.",reference
"AV","Atharvaveda-Sarhhitä.",reference
"Av.","Avestisch.",language
"AVP","A V, Paippaläda-Rezension.",reference
"Bai","H. W. Bailey.",reference
"Bai, Dict","H. W. Bailey, Dictionary of Khotan Saka. Cambridge 1979.",reference
"BaltLing","T. F. Magner - W. R. Schmalstieg (edd.), Baltic Linguistics. University Park, Pa. - London 1970.",reference
"BammLar","A. Bammesberger, Studien zur Laryngaltheorie. [Ergänzungshefte zu KZ Nr. 33). Göttingen 1984.",reference
"BauSS","Baudhiiyana-Srautasütra.",grammar
"BB","Beiträge zur Kunde der indogermanischen Sprachen. [Begründet von A. Bezzenberger]. Göttin- gen.",reference
"Bee","R. S. P. Beekes.",reference
"Belardi, SMeM","W. Belard~ Studi Mithraici e Mazclei. Rom 1977.",reference
"Benv","E. (- E.) Benveniste.",reference
"Benv, Hel","E. Benveniste, Hittite et Indo-Europeen. Etudes comparatives. Paris 1962.",reference
"Benv, Instit","E. Benveniste, Le vocabulaire des institutions lndo-europeennes. 2 Bde. Paris 1969.",reference
"Benv, Oss","E. Benveniste, Etudes sur la langue ossete. Paris 1959.",reference
"bes.","besonders.",other
"BhG","Bhagavad-Gitä.",reference
"BhP","Bhav~ya-Purä!)a.",reference
"BNF","Beiträge zur Namenforschung [Neue Folge, 1966tf.; - BzN]. Heidelberg.",reference
"Bohl","S. Bohl, Ausdrucksmittel für ein Besitzverhältnis im Vedischen und Griechischen. Louvain-la- Neuve 1980.",reference
"Bollee, Studien [I]","W. B. Bollee, Studien zum Süyagada. Teil I. Wiesbaden 1977.",reference
"Br","Brähmlll)a.",language
