abbreviation,full,type
"Apte2","V. S. Apte, Practical Sanskrit-English Dictionary. Revised and enlarged edition by P. K. Gode and C. G. Karve. 3 Bde. Poona 1957-1959.",reference
"Athena","Αθηνᾶ, Σύγγραμμα περιοδικὸν τῆς ἐν Ἀθήναις Επιστημονικής Εταιρείας, Athen.",reference
"BachDN","A. Bach, Deutsche Namenkunde. I-III. Heidelberg 1952-1956.",reference
"Bai, KhotT VII","H. W. Bailey, Indo-Scythian Studies. Being Khotanese Texts Volume VII. Cambridge etc. 1985.",reference
"BDC","Bulletin of the Deccan College Research Institute. Poona.",reference
"Bechtel, HistPN","F. Bechtel, Die historischen Personennamen des Griechischen bis zur Kaiserzeit. Halle 1917.",reference
"BerlIindS","Berliner Indologische Studien. Reinbek.",reference
"Bhandarkar-Vol.","D. R. Bhandarkar Volume. Kalkutta 1940.",reference
"Brough, CollP","J. Brough, Collected Papers. London 1996",reference
"BSüdAF","Beiträge zur Südasienforschung. Südasien-Institut Universität Heidelberg.",reference
"Cal Wunschopfer","W. Caland, Altindische Zauberei. Darstellung der altindischen Wunschopfer. [VKNA Deel X No. 1, 1908]. Nachdruck Amsterdam 1983.",reference
"CentRenou","Langue, style et structure dans le monde indien. Centenaire de Louis Renou, Actes du colloque international (Paris, 25-27 janvier 1996). Paris 1996.",reference
"Couture","A. Couture, L'enfance de Krishna. Traduction des chapitres 30 à 78. Laval 1991.",reference
"C2","s. S-W, C2 (unten III, XXX).",reference
"DudenFWB","Duden[.] Das Große Fremdwörterbuch. Herkunft und Bedeutung der Fremdwörter. Mannheim etc. 1994.",reference
"EggermontACP","P. H. O. Eggermont, Alexander's Campaigns in Sind and Baluchistan and the Siege of the Brahmin Town of Harma- telia. Leuven 1975.",reference
"EI","Epigraphia Indica. Delhi.",reference
"EilĀl","W. Eilers, Die Āl, ein persisches Kindbettgespenst. [SbAkMünchen 1979:7]. München 1979.",reference
"EmKolami","M. B. Emeneau, Kolami, A Dravidian Language. Berkeley 1955 (Reprinted Annamalainagar 1961).",reference
"EmmSk III","EmmSk (o. I, XXIII), III (Wien 1997) [SbÖAW 651].",reference
"EmSinduvāra","M. B. Emeneau, The sinduvāra tree [and the sephalika] in Sanskrit literature. University of California Publications in Classical Philology 12 (1944) 333-346 [= SelP FalkSchrift 1-10].",reference
"FalkSchrift","H. Falk, Schrift im alten Indien. Ein Forschungsbericht mit Anmerkungen. Tübingen 1993.",reference
"Finot","L. Finot, Les lapidaires indiens. Paris 1896.",reference
"Franke, KS","R. O. Franke, Kleine Schriften. [Glasenapp-Stiftung Band 17]. Wiesbaden 1978.",reference
"Frisk, SubstPriv","H. Frisk, Substantiva privativa im Indogermanischen. [Göteborgs Högskolas Årsskrift LIII 1947:31. Göteborg 1948.",reference
"Fs Bartoněk","Palaeograeca et Mycenaea Antonino Bartoněk Quinque et Sexagenario Oblata. Brünn 1991",reference
"Fs Beekes","Sound Law and Analogy. Papers in honor of Robert R. P. Beekes on the occasion of his 60th birthday. [LSIE 9]. Amsterdam- Atlanta 1997.",reference
"Fs Chhabra","Svasti Śrī. Dr. B. Ch. Chhabra Felicitation Volume. Delhi 1984.",reference
"Fs Hänsel","XPONOE() Beiträge zur prähistorischen Archäologie zwischen Nord- und Südost-europa(.) Festschrift für Bernhard Hänsel. Espelkamp 1997 - Schlerath, Metallg, o. II XXV].",reference
"Fs Hirt","Germanen und Indogermanen. Festschrift für Herman Hirt. 2 Bde, Heidelberg 1936.",reference
"Fs Ji Xianlin","Papers in Honour of Prof. Dr. Ji Xianlin on the Occasion of His 80th Birthday. Nan-chang 1991.",reference
"Fs Lazard","Études Irano-Aryennes Offertes à G. Lazard. [Stir Cahier 7). Paris 1989.",reference
"Fs Li Fang-kuei","Bulletin of the Institute of History and Philology. Academia Sinica. 39 [In Honor of Dr. Li Fang-kuei). Taipei 1969.",reference
"Fs Lochner-Hüttenbach","Studia Onomastica et Indogermanica. Fest-schrift Fritz Lochner von Hüttenbach zum 65. Geburtstag. Graz 1995.",reference
"Fs Mańczak","Munus Amicitiae. Studia linguistica in honorem Witoldi Mańczak septuagenarii. Krakau 1995.",reference
"Fs Puhvel","Studies in Honor of Jaan Puhvel, Pt. I, II JIES Monogr. Nr. 20, 21, 1997).",reference
"Fs Roth","Festgruß an R. v. Roth zum Doktor-Jubi- läum 24. August 1893. Stuttgart 1893.",reference
"Fs Rūᶄe-Draviᶇa","Symposium Balticum. A Festschrift to hon- our Professor Velta Rüke-Draviņa. Ham- burg 1990.",reference
"Fs Schmidt","Indogermanica et Caucasica. Festschrift für Karl Horst Schmidt zum 65. Geburtstag. Berlin New York 1994.",reference
"Fs Shevoroshkin","Indo-European, Nostratic, and Beyond: Festschrift for V. V. Shevoroshkin [JIES Monogr. Nr. 22, 1997].",reference
"Fs Słuszkiewicz","Anantapärarh kila sabdaśästram... Księga pamiątkowa ku czci Eugeniusza Słuszkie- wicza. Warschau 1974. Mír Curad. Studies in Honor of Calvert Watkins. Innsbruck 1998.",reference
"Fs Watkins","G. Fussman und D. König, Die Felsbildsta- tion Shatial. [Materialien zur Archäologie der Nordgebiete Pakistans Bd. 2]. Mainz 1997.",reference
"GIndAPh","Grundriß der Indo-Arischen Philologie und Altertumskunde. Straßburg.",reference
"GiovStudio II, III","P. Di Giovine, Studi sul Perfetto Indoeuro- peo (o. I, XXXI). Parte II, III [Biblioteca di Ricerche Linguistiche e Filologiche 40, 41]. Rom 1996.",reference
"Gode","s. Apte2, o. III XX.",reference
