iast,iso,ipa,tf,kh,slp1,tsu,csx
aí,aí,aí,;ai,;ai,;E,;E,0
aì,aì,aì,:ai,:ai,:E,:E,0
ai,ai,ai,ai,ai,E,E,0
aú,aú,aú,;au,;au,;O,;O,0
aù,aù,aù,:au,:au,:O,:O,0
au,au,au,au,au,O,O,0
ā́,ā́,áː,;aa,;A,;A,;A,181
ā̀,ā̀,àː,:aa,:A,:A,:A,182
á,á,á,;a,;a,;a,;a,158
à,à,à,:a,:a,:a,:a,133
ā,ā,aː,aa,A,A,A,224
ī́,ī́,íː,;ii,;I,;I,;I,183
ī̀,ī̀,ìː,:ii,:I,:I,:I,184
í,í,í,;i,;i,;i,;i,161
ì,ì,ì,:i,:i,:i,:i,141
ī,ī,iː,ii,I,I,I,227
ū́,ū́,úː,;uu,;U,;U,;U,189
ū̀,ū̀,ùː,:uu,:U,:U,:U,190
ú,ú,ú,;u,;u,;u,;u,163
ù,ù,ù,:u,:u,:u,:u,151
ū,ū,uː,uu,U,U,U,229
ṝ́,r̥̄́,ŕ̩ː,;..rr,;RR,;F,;Q,179
r̥̄̀,r̥̄̀,r̩̀ː,:..rr,:RR,:F,:Q,0
ṛ,ŕ̥,ŕ̩,;.r,;R,;f,;q,198
ṛ́,ŕ̥,ŕ̩,;.r,;R,;f,;q,198
ṛ̀,r̥̀,r̩̀,:.r,:R,:f,:q,199
ṝ,r̥̄,r̩ː,..rr,RR,F,Q,233
ṛ,r̥,r̩,.r,R,f,q,231
ḷ́,ĺ̥,ĺ̩,;.l,;L,;x,;L,0
ḷ̀,l̥̀,l̩̀,:.l,:L,:X,:L,0
ḷ,l̥,l̩,.l,L,x,L,235
é,é,éː,;e,;e,;e,;e,130
è,è,èː,:e,:e,:e,:e,138
e,e,eː,e,e,e,e,101
ó,ó,óː,;o,;o,;o,;o,162
ò,ò,òː,:o,:o,:o,:o,149
o,o,oː,o,o,o,o,111
kh,kh,kʰ,kh,kh,K,K,107104
gh,gh,gʰ,gh,gh,G,G,103104
ch,ch,cʰ,ch,ch,C,C,99104
jh,jh,jʰ,jh,jh,J,J,106104
ṭh,ṭh,ʈʰ,.th,.th,W,W,241104
ḍh,ḍh,ɖʰ,.dh,.dh,Q,X,243104
ḷh,ḷh,;lh,;lh,;lh,Q,X,0
th,th,tʰ,th,th,T,T,116104
dh,dh,dʰ,dh,dh,D,D,100104
ph,ph,pʰ,ph,ph,P,P,112104
bh,bh,bʰ,bh,bh,B,B,98104
ṅ,ṅ,ŋ,:n,G,N,V,239
ñ,ñ,ɲ,;n,J,Y,Y,164
ṇ,ṇ,ɳ,.n,N,R,N,245
j,j,ɟ,j,j,j,j,106
ṭ,ṭ,ʈ,.t,T,w,w,241
ḍ,ḍ,ɖ,.d,D,q,x,243
ḷ,ḷ,;l,;l,;l,q,x,0
y,y,j,y,y,y,y,121
ś,ś,ś,;s,z,S,z,247
ṣ,ṣ,ʂ,.s,S,z,S,249
ḫ,ḫ,ḫ,.f,f,H,f,220
ẖ,ẖ,ẖ,.x,x,H,F,219
ṃ,ṃ,ṃ,.m,M,M,M,252
ṁ,ṁ,ṁ,:m,:m,M,M,167
m̐,m̐,m̐,;m,;m,M,M,193
ḥ,ḥ,h,.h,H,H,H,254
